Fecha de realizacion de encuesta,żCuanto tiempo te dura un vape? (4000 puffs),"żUsas el vape con la misma frecuencia todo el dia o periodicamente? (un rato lo usas, un rato no, luego lo vuelves a usar, y asi sucesivamente)","żCuantos hits das por periodo? (en caso de que hayas contestado que lo usas periodicamente, en ese periodo, żcuantos hits das?)",żCuanto tiempo dura el periodo de uso?,żConsideras que el uso de vape afecta tu capacidad para concentrarte?,"En una escala del 1 al 10, ÂżComo consideras tu nivel de productividad cuando usas el vape","żHas dejado un compromiso, responsabilidad o has procrastinado por usar vape previamente?","żUsas vape en la escuela o trabajo? (Si lo usaste alguna vez, marca Si)",żSi usas vape durante un trabajo/tarea este afecta la calidad?,El vape te da...,"żTe han dicho que eres menos productivo (o mas lento) cuando usas vape? (comentarios, calificaciones, etc.)"
4/17/2024 22:35:46,3 semanas,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,1 a 3 segundos,no,5,no,si,no,sueno,no
4/17/2024 22:36:43,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",1 a 3,1 a 3 segundos,no,8,no,si,no,relajacion,no
4/17/2024 22:39:57,7 a 14 dias,la misma frecuencia todo el dia,mas de 16,4 a 7 segundos,no,7,no,si,no,relajacion,no
4/17/2024 22:40:46,4 a 7 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,1 a 3 segundos,tal vez,2,no,si,no,relajacion,si
4/17/2024 22:41:14,3 semanas,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,4 a 7 segundos,no,7,no,no,no,relajacion,no
4/17/2024 22:52:18,3 semanas,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",8 a 11,1 a 3 segundos,no,9,no,si,no,sueno,no
4/17/2024 22:53:24,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",1 a 3,4 a 7 segundos,si,4,no,si,no,relajacion,no
4/17/2024 22:54:10,4 a 7 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",mas de 16,mas de 5 minutos,no,5,no,si,no,relajacion,no
4/17/2024 22:56:13,3 semanas,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,7 a 11 segundos,no,10,no,si,no,energia,no
4/17/2024 23:04:58,4 a 7 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,11 a 15 segundos,no,6,no,si,no,relajacion,no
4/17/2024 23:05:46,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",1 a 3,4 a 7 segundos,no,5,no,si,no,relajacion,no
4/17/2024 23:12:27,7 a 14 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",mas de 16,4 a 7 segundos,si,5,no,no,no,relajacion,no
4/17/2024 23:15:53,3 semanas,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,4 a 7 segundos,si,8,no,si,tal vez,relajacion,no
4/17/2024 23:20:01,7 a 14 dias,la misma frecuencia todo el dia,4 a 7,mas de 5 minutos,tal vez,7,tal vez,si,no,relajacion,no
4/17/2024 23:37:44,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,11 a 15 segundos,no,5,no,si,no,felicidad,no
4/17/2024 23:48:09,7 a 14 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",1 a 3,mas de 5 minutos,no,9,no,si,no,sueno,no
4/17/2024 23:56:35,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",mas de 16,3 a 5 minutos,no,10,no,si,no,relajacion,no
4/17/2024 23:56:37,7 a 14 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,4 a 7 segundos,no,5,no,no,no,relajacion,no
4/18/2024 0:28:37,3 semanas,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",8 a 11,3 a 5 minutos,no,8,no,si,no,relajacion,no
4/18/2024 1:02:29,3 semanas,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,1 a 3 minutos,no,9,no,si,no,relajacion,no
4/18/2024 5:47:50,mas de un mes,la misma frecuencia todo el dia,1 a 3,1 a 3 segundos,no,4,no,no,no,relajacion,no
4/18/2024 6:06:36,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,11 a 15 segundos,no,8,no,no,no,relajacion,no
4/18/2024 6:13:33,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",1 a 3,1 a 3 segundos,si,1,no,no,si,mareo,si
4/18/2024 6:22:50,3 semanas,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",12 a 16,3 a 5 minutos,no,8,no,si,no,relajacion,no
4/18/2024 6:26:48,7 a 14 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,11 a 15 segundos,no,9,no,si,no,relajacion,no
4/18/2024 6:32:24,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",1 a 3,3 a 5 minutos,tal vez,8,si,si,no,felicidad,no
4/18/2024 6:34:51,7 a 14 dias,la misma frecuencia todo el dia,4 a 7,15 a 30 segundos,tal vez,10,no,si,no,mareo,no
4/18/2024 7:07:40,3 semanas,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,1 a 3 minutos,si,1,si,si,tal vez,mareo,si
4/18/2024 7:27:42,mas de un mes,la misma frecuencia todo el dia,mas de 16,4 a 7 segundos,tal vez,8,no,si,no,relajacion,no
4/18/2024 7:33:50,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",mas de 16,3 a 5 minutos,tal vez,8,no,si,no,relajacion,no
4/18/2024 7:38:50,4 a 7 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",mas de 16,mas de 5 minutos,tal vez,8,no,si,no,relajacion,no
4/18/2024 7:53:10,7 a 14 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",8 a 11,3 a 5 minutos,tal vez,6,no,si,no,relajacion,no
4/18/2024 8:30:50,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",1 a 3,4 a 7 segundos,no,2,no,si,no,mareo,no
4/18/2024 9:14:44,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",1 a 3,1 a 3 segundos,si,8,no,si,no,mareo,no
4/18/2024 9:57:49,7 a 14 dias,la misma frecuencia todo el dia,8 a 11,mas de 5 minutos,tal vez,9,no,si,no,relajacion,no
4/18/2024 10:24:35,7 a 14 dias,la misma frecuencia todo el dia,1 a 3,1 a 3 segundos,no,8,no,si,no,relajacion,no
4/18/2024 10:30:43,7 a 14 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",8 a 11,1 a 3 minutos,no,10,no,si,no,mareo,no
4/18/2024 10:32:11,7 a 14 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",8 a 11,4 a 7 segundos,no,9,tal vez,si,no,relajacion,no
4/18/2024 10:46:49,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,1 a 3 segundos,tal vez,9,no,no,no,relajacion,no
4/18/2024 10:49:36,3 semanas,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,30 a 60 segundos,si,5,no,si,si,mareo,no
4/18/2024 10:52:03,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",8 a 11,7 a 11 segundos,tal vez,6,no,si,no,relajacion,no
4/18/2024 10:54:33,4 a 7 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",mas de 16,7 a 11 segundos,no,10,tal vez,si,no,relajacion,si
4/18/2024 10:55:16,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",12 a 16,mas de 5 minutos,si,1,si,no,si,relajacion,si
4/18/2024 11:02:13,7 a 14 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,4 a 7 segundos,no,7,no,no,no,relajacion,no
4/18/2024 11:04:08,3 semanas,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",12 a 16,3 a 5 minutos,si,6,no,no,tal vez,relajacion,no
4/18/2024 11:07:40,3 semanas,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",1 a 3,mas de 5 minutos,tal vez,7,no,si,no,felicidad,no
4/18/2024 11:18:15,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",1 a 3,1 a 3 segundos,si,6,si,si,si,relajacion,si
4/18/2024 11:18:34,7 a 14 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,4 a 7 segundos,no,10,no,si,no,relajacion,no
4/18/2024 11:40:52,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,4 a 7 segundos,tal vez,4,no,si,no,mareo,si
4/18/2024 11:59:18,4 a 7 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,7 a 11 segundos,tal vez,6,tal vez,si,tal vez,relajacion,no
4/18/2024 12:39:11,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,1 a 3 segundos,no,9,no,si,no,relajacion,no
4/18/2024 12:53:21,7 a 14 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,11 a 15 segundos,no,9,no,si,no,felicidad,no
4/18/2024 13:01:37,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,30 a 60 segundos,no,5,no,si,no,relajacion,no
4/18/2024 13:14:25,3 semanas,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",mas de 16,mas de 5 minutos,no,9,no,no,tal vez,relajacion,no
4/18/2024 13:21:08,4 a 7 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,4 a 7 segundos,no,5,no,no,no,relajacion,no
4/18/2024 14:09:39,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,1 a 3 segundos,no,1,no,si,no,mareo,no
4/18/2024 14:13:10,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",1 a 3,1 a 3 segundos,no,8,no,si,no,relajacion,no
4/18/2024 14:26:41,7 a 14 dias,la misma frecuencia todo el dia,mas de 16,4 a 7 segundos,no,10,no,si,no,relajacion,no
4/18/2024 14:27:53,4 a 7 dias,la misma frecuencia todo el dia,mas de 16,4 a 7 segundos,no,10,no,si,no,relajacion,no
4/18/2024 14:30:38,3 semanas,la misma frecuencia todo el dia,8 a 11,mas de 5 minutos,no,10,no,si,no,relajacion,no
4/18/2024 14:33:30,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",1 a 3,30 a 60 segundos,tal vez,8,no,si,no,relajacion,no
4/18/2024 14:59:02,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",8 a 11,mas de 5 minutos,no,7,no,si,no,relajacion,no
4/18/2024 15:22:40,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",mas de 16,1 a 3 minutos,no,8,no,no,no,relajacion,no
4/18/2024 15:45:08,3 semanas,la misma frecuencia todo el dia,mas de 16,mas de 5 minutos,no,10,si,si,si,felicidad,si
4/18/2024 17:01:13,mas de un mes,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",mas de 16,15 a 30 segundos,tal vez,6,no,no,si,energia,no
4/18/2024 21:38:28,3 semanas,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",12 a 16,1 a 3 segundos,si,1,no,si,si,mareo,no
4/18/2024 21:42:56,3 semanas,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,11 a 15 segundos,si,7,tal vez,no,si,relajacion,no
4/20/2024 17:29:22,7 a 14 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",4 a 7,1 a 3 segundos,no,9,no,si,no,relajacion,no
4/22/2024 3:35:41,4 a 7 dias,"periodicamente (un rato lo usas, luego no, y asi sucesivamente)",mas de 16,7 a 11 segundos,no,9,no,si,no,relajacion,no
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
